,17_SVM,MEAN,MEDIAN
207375_s_at,-0.7782399723439777,-0.7782399723439777,-0.7782399723439777
207375_s_at,-0.7782399723439777,-0.7782399723439777,-0.7782399723439777
1569566_at,-0.7381524790849543,-0.7381524790849543,-0.7381524790849543
1569566_at,-0.7381524790849543,-0.7381524790849543,-0.7381524790849543
223017_at,-0.7115226843256235,-0.7115226843256235,-0.7115226843256235
223017_at,-0.7115226843256235,-0.7115226843256235,-0.7115226843256235
217865_at,-0.5804377832176709,-0.5804377832176709,-0.5804377832176709
217865_at,-0.5804377832176709,-0.5804377832176709,-0.5804377832176709
221933_at,-0.5722133085111114,-0.5722133085111114,-0.5722133085111114
221933_at,-0.5722133085111114,-0.5722133085111114,-0.5722133085111114
230689_at,-0.5707409536902329,-0.5707409536902329,-0.5707409536902329
230689_at,-0.5707409536902329,-0.5707409536902329,-0.5707409536902329
218862_at,-0.5510257198856225,-0.5510257198856225,-0.5510257198856225
218862_at,-0.5510257198856225,-0.5510257198856225,-0.5510257198856225
206589_at,-0.5093415677134316,-0.5093415677134316,-0.5093415677134316
206589_at,-0.5093415677134316,-0.5093415677134316,-0.5093415677134316
213093_at,-0.48978150307665724,-0.48978150307665724,-0.48978150307665724
213093_at,-0.48978150307665724,-0.48978150307665724,-0.48978150307665724
1552726_at,-0.4771153460476305,-0.4771153460476305,-0.4771153460476305
1552726_at,-0.4771153460476305,-0.4771153460476305,-0.4771153460476305
1568713_a_at,-0.43631494325662573,-0.43631494325662573,-0.43631494325662573
1568713_a_at,-0.43631494325662573,-0.43631494325662573,-0.43631494325662573
233185_at,-0.43295104018468783,-0.43295104018468783,-0.43295104018468783
233185_at,-0.43295104018468783,-0.43295104018468783,-0.43295104018468783
1554689_a_at,-0.36296793662832805,-0.36296793662832805,-0.36296793662832805
1554689_a_at,-0.36296793662832805,-0.36296793662832805,-0.36296793662832805
239886_at,-0.35662678144278454,-0.35662678144278454,-0.35662678144278454
239886_at,-0.35662678144278454,-0.35662678144278454,-0.35662678144278454
206923_at,-0.28547833382885784,-0.28547833382885784,-0.28547833382885784
206923_at,-0.28547833382885784,-0.28547833382885784,-0.28547833382885784
237403_at,-0.2833672120176167,-0.2833672120176167,-0.2833672120176167
237403_at,-0.2833672120176167,-0.2833672120176167,-0.2833672120176167
229380_at,-0.28148995387148057,-0.28148995387148057,-0.28148995387148057
229380_at,-0.28148995387148057,-0.28148995387148057,-0.28148995387148057
211548_s_at,-0.28130693912394295,-0.28130693912394295,-0.28130693912394295
211548_s_at,-0.28130693912394295,-0.28130693912394295,-0.28130693912394295
206310_at,-0.2572573737653736,-0.2572573737653736,-0.2572573737653736
206310_at,-0.2572573737653736,-0.2572573737653736,-0.2572573737653736
210676_x_at,-0.2456992034141935,-0.2456992034141935,-0.2456992034141935
210676_x_at,-0.2456992034141935,-0.2456992034141935,-0.2456992034141935
205900_at,-0.23699095755368713,-0.23699095755368713,-0.23699095755368713
205900_at,-0.23699095755368713,-0.23699095755368713,-0.23699095755368713
215195_at,-0.23012716600510022,-0.23012716600510022,-0.23012716600510022
215195_at,-0.23012716600510022,-0.23012716600510022,-0.23012716600510022
230526_at,-0.1253139125254476,-0.1253139125254476,-0.1253139125254476
230526_at,-0.1253139125254476,-0.1253139125254476,-0.1253139125254476
203401_at,-0.12044235373336569,-0.12044235373336569,-0.12044235373336569
203401_at,-0.12044235373336569,-0.12044235373336569,-0.12044235373336569
206752_s_at,-0.10177559372371667,-0.10177559372371667,-0.10177559372371667
206752_s_at,-0.10177559372371667,-0.10177559372371667,-0.10177559372371667
204689_at,-0.08600851940224283,-0.08600851940224283,-0.08600851940224283
204689_at,-0.08600851940224283,-0.08600851940224283,-0.08600851940224283
230932_at,-0.08597600649216272,-0.08597600649216272,-0.08597600649216272
230932_at,-0.08597600649216272,-0.08597600649216272,-0.08597600649216272
215117_at,-0.06912934061012098,-0.06912934061012098,-0.06912934061012098
215117_at,-0.06912934061012098,-0.06912934061012098,-0.06912934061012098
228097_at,-0.04472081845307824,-0.04472081845307824,-0.04472081845307824
228097_at,-0.04472081845307824,-0.04472081845307824,-0.04472081845307824
228098_s_at,-0.031574694633698296,-0.031574694633698296,-0.031574694633698296
228098_s_at,-0.031574694633698296,-0.031574694633698296,-0.031574694633698296
215933_s_at,-0.021090382095803037,-0.021090382095803037,-0.021090382095803037
215933_s_at,-0.021090382095803037,-0.021090382095803037,-0.021090382095803037
201105_at,-0.012713125139525034,-0.012713125139525034,-0.012713125139525034
201105_at,-0.012713125139525034,-0.012713125139525034,-0.012713125139525034
211549_s_at,-0.012690735368616864,-0.012690735368616864,-0.012690735368616864
211549_s_at,-0.012690735368616864,-0.012690735368616864,-0.012690735368616864
207908_at,0.015961018962944915,0.015961018962944915,0.015961018962944915
207908_at,0.015961018962944915,0.015961018962944915,0.015961018962944915
218376_s_at,0.020918509547414907,0.020918509547414907,0.020918509547414907
218376_s_at,0.020918509547414907,0.020918509547414907,0.020918509547414907
224252_s_at,0.043489466267058824,0.043489466267058824,0.043489466267058824
224252_s_at,0.043489466267058824,0.043489466267058824,0.043489466267058824
219282_s_at,0.08615005528641957,0.08615005528641957,0.08615005528641957
219282_s_at,0.08615005528641957,0.08615005528641957,0.08615005528641957
223130_s_at,0.09272341120145973,0.09272341120145973,0.09272341120145973
223130_s_at,0.09272341120145973,0.09272341120145973,0.09272341120145973
212124_at,0.12111483187868166,0.12111483187868166,0.12111483187868166
212124_at,0.12111483187868166,0.12111483187868166,0.12111483187868166
218084_x_at,0.14500160348674732,0.14500160348674732,0.14500160348674732
218084_x_at,0.14500160348674732,0.14500160348674732,0.14500160348674732
225613_at,0.1700429526477196,0.1700429526477196,0.1700429526477196
225613_at,0.1700429526477196,0.1700429526477196,0.1700429526477196
238622_at,0.19600949764738146,0.19600949764738146,0.19600949764738146
238622_at,0.19600949764738146,0.19600949764738146,0.19600949764738146
206907_at,0.20193273314023644,0.20193273314023644,0.20193273314023644
206907_at,0.20193273314023644,0.20193273314023644,0.20193273314023644
214958_s_at,0.3275920284515724,0.3275920284515724,0.3275920284515724
214958_s_at,0.3275920284515724,0.3275920284515724,0.3275920284515724
218337_at,0.3315763905822752,0.3315763905822752,0.3315763905822752
218337_at,0.3315763905822752,0.3315763905822752,0.3315763905822752
201015_s_at,0.33930505845585834,0.33930505845585834,0.33930505845585834
201015_s_at,0.33930505845585834,0.33930505845585834,0.33930505845585834
202552_s_at,0.3578540970596706,0.3578540970596706,0.3578540970596706
202552_s_at,0.3578540970596706,0.3578540970596706,0.3578540970596706
214950_at,0.36352215794730114,0.36352215794730114,0.36352215794730114
214950_at,0.36352215794730114,0.36352215794730114,0.36352215794730114
209930_s_at,0.36883443636259017,0.36883443636259017,0.36883443636259017
209930_s_at,0.36883443636259017,0.36883443636259017,0.36883443636259017
1563473_at,0.3860462155035469,0.3860462155035469,0.3860462155035469
1563473_at,0.3860462155035469,0.3860462155035469,0.3860462155035469
222978_at,0.3879455043308038,0.3879455043308038,0.3879455043308038
222978_at,0.3879455043308038,0.3879455043308038,0.3879455043308038
208592_s_at,0.41134484179566333,0.41134484179566333,0.41134484179566333
208592_s_at,0.41134484179566333,0.41134484179566333,0.41134484179566333
218638_s_at,0.4169665209169089,0.4169665209169089,0.4169665209169089
218638_s_at,0.4169665209169089,0.4169665209169089,0.4169665209169089
228667_at,0.4276282680921462,0.4276282680921462,0.4276282680921462
228667_at,0.4276282680921462,0.4276282680921462,0.4276282680921462
219693_at,0.4276610706136744,0.4276610706136744,0.4276610706136744
219693_at,0.4276610706136744,0.4276610706136744,0.4276610706136744
203325_s_at,0.4290658966956995,0.4290658966956995,0.4290658966956995
203325_s_at,0.4290658966956995,0.4290658966956995,0.4290658966956995
208501_at,0.4444199916863805,0.4444199916863805,0.4444199916863805
208501_at,0.4444199916863805,0.4444199916863805,0.4444199916863805
212489_at,0.4471341560365233,0.4471341560365233,0.4471341560365233
212489_at,0.4471341560365233,0.4471341560365233,0.4471341560365233
223600_s_at,0.4784906121245546,0.4784906121245546,0.4784906121245546
223600_s_at,0.4784906121245546,0.4784906121245546,0.4784906121245546
206726_at,0.4813921183631403,0.4813921183631403,0.4813921183631403
206726_at,0.4813921183631403,0.4813921183631403,0.4813921183631403
227134_at,0.4850415027694229,0.4850415027694229,0.4850415027694229
227134_at,0.4850415027694229,0.4850415027694229,0.4850415027694229
229678_at,0.4938742457486574,0.4938742457486574,0.4938742457486574
229678_at,0.4938742457486574,0.4938742457486574,0.4938742457486574
205910_s_at,0.49937860341290374,0.49937860341290374,0.49937860341290374
205910_s_at,0.49937860341290374,0.49937860341290374,0.49937860341290374
225611_at,0.5002546785584298,0.5002546785584298,0.5002546785584298
225611_at,0.5002546785584298,0.5002546785584298,0.5002546785584298
45297_at,0.5043318955612398,0.5043318955612398,0.5043318955612398
45297_at,0.5043318955612398,0.5043318955612398,0.5043318955612398
212488_at,0.5396682619021547,0.5396682619021547,0.5396682619021547
212488_at,0.5396682619021547,0.5396682619021547,0.5396682619021547
213367_at,0.5459945521985348,0.5459945521985348,0.5459945521985348
213367_at,0.5459945521985348,0.5459945521985348,0.5459945521985348
225791_at,0.5821577096219138,0.5821577096219138,0.5821577096219138
225791_at,0.5821577096219138,0.5821577096219138,0.5821577096219138
203522_at,0.5859080889997026,0.5859080889997026,0.5859080889997026
203522_at,0.5859080889997026,0.5859080889997026,0.5859080889997026
1552742_at,0.6029664830378476,0.6029664830378476,0.6029664830378476
1552742_at,0.6029664830378476,0.6029664830378476,0.6029664830378476
204692_at,0.6432456078398336,0.6432456078398336,0.6432456078398336
204692_at,0.6432456078398336,0.6432456078398336,0.6432456078398336
223748_at,0.6650187582478919,0.6650187582478919,0.6650187582478919
223748_at,0.6650187582478919,0.6650187582478919,0.6650187582478919
1556945_a_at,0.6999208799952893,0.6999208799952893,0.6999208799952893
1556945_a_at,0.6999208799952893,0.6999208799952893,0.6999208799952893
223575_at,0.7021529886328436,0.7021529886328436,0.7021529886328436
223575_at,0.7021529886328436,0.7021529886328436,0.7021529886328436
215784_at,0.7229350570884611,0.7229350570884611,0.7229350570884611
215784_at,0.7229350570884611,0.7229350570884611,0.7229350570884611
215807_s_at,0.7304633829951273,0.7304633829951273,0.7304633829951273
215807_s_at,0.7304633829951273,0.7304633829951273,0.7304633829951273
209661_at,0.9329693206951597,0.9329693206951597,0.9329693206951597
209661_at,0.9329693206951597,0.9329693206951597,0.9329693206951597
209626_s_at,1.0,1.0,1.0
209626_s_at,1.0,1.0,1.0
