,0_RF,1_XGB,2_LGBM,3_ExtraTrees,9_RF,10_XGB,11_LGBM,12_ExtraTrees,MEAN,MEDIAN
1569566_at,1.0,0.7619048,0.16666666666666666,0.0,1.0,0.70370376,0.8333333333333334,0.7059690610308387,0.646447199778494,0.7059690610308387
223748_at,0.23980977100461257,0.26190478,1.0,0.2131928907625435,0.3545601536681194,0.3333333,1.0,0.292892350834599,0.4619616569789171,0.3333333134651184
233185_at,0.28901876215926176,0.14285715,0.8333333333333334,0.3905570961643581,0.4666538453787617,0.3888889,0.5,0.3650092195990438,0.4220397876737176,0.3905570961643581
209661_at,0.14437818811414815,0.21428572,0.5,0.3947313346454663,0.2197557955944514,0.2777778,0.3333333333333333,0.7964950164073737,0.3600946469415599,0.3333333333333333
223017_at,0.4111821430154458,0.33333334,0.3333333333333333,0.16260466942995938,0.32444640645252176,0.14814815,0.5,0.390542055518788,0.3254487625336784,0.3333333333333333
209626_s_at,0.14677111356640368,0.4761905,0.3333333333333333,0.0,0.37242683561532436,0.4814815,0.5,0.2128217108258048,0.3153781241590252,0.3333333333333333
1552726_at,0.11499880734146335,1.0,0.0,0.01674748856353654,0.014140757117468865,1.0,0.0,0.3126949119321516,0.30732274561932754,0.11499880734146335
201015_s_at,0.6652315029577165,0.0,0.0,0.7188677966668116,0.6640158133370281,0.037037037,0.16666666666666666,0.19403988024960847,0.30573233714885195,0.19403988024960847
228667_at,0.7776870097119113,0.1904762,0.16666666666666666,0.20486052421896248,0.2943345383951721,0.3148148,0.3333333333333333,0.14558912975277316,0.3034702752609253,0.2943345383951721
1563473_at,0.0,0.2857143,0.5,0.29440006014878195,0.2960399978732212,0.2962963,0.16666666666666666,0.5852041059479752,0.3030401784534038,0.2960399978732212
221933_at,0.0,0.16666667,0.3333333333333333,0.5068926044742482,0.41946474273093803,0.0,0.5,0.4325875384875741,0.29486811133247676,0.3333333333333333
1554689_a_at,0.18322064806598243,0.7619048,0.16666666666666666,0.2740775402401736,0.2731332048062779,0.2962963,0.0,0.24447234220291267,0.2749714345727791,0.2731332048062779
45297_at,0.0,0.0,0.5,0.3610253683138555,0.2049411326820267,0.12962963,0.3333333333333333,0.5282906996937741,0.25715252011164313,0.25715252011164313
225791_at,0.6821724727714481,0.04761905,0.16666666666666666,0.2465889564050085,0.1196463772384135,0.037037037,0.3333333333333333,0.3152206931918405,0.24353557317821456,0.24353557317821456
239886_at,0.3656626484343219,0.0,0.16666666666666666,0.61825503113262,0.22703315493045803,0.074074075,0.16666666666666666,0.27768373631065213,0.23700524734591927,0.22703315493045803
229380_at,0.4074942344272402,0.30952382,0.0,0.2185672318751497,0.13712992504071014,0.1851852,0.16666666666666666,0.36929339679452594,0.22423255871210884,0.2185672318751497
227134_at,0.2968318152271474,0.11904763,0.3333333333333333,0.001508594410094567,0.3401592217750657,0.074074075,0.3333333333333333,0.26316519258427673,0.22018164901777615,0.26316519258427673
1552742_at,0.29879672349734665,0.8333334,0.0,0.025491971131727784,0.0,0.4814815,0.0,0.09928950194317922,0.21729913277017446,0.09928950194317922
224252_s_at,0.23200313414474383,0.16666667,0.0,0.33908459167233096,0.4322655022684829,0.0,0.0,0.5640642385290021,0.21676051728103501,0.21676051728103501
230689_at,0.18562803316487358,0.4047619,0.5,0.20014986384665484,0.1778767566408462,0.018518519,0.0,0.1446915728441024,0.20395333194893836,0.18562803316487358
225611_at,0.0527207188716351,0.11904763,0.0,1.0,0.25499355845763527,0.0,0.0,0.14604787894524965,0.19660122289093862,0.1190476268529892
218638_s_at,0.5037345856496638,0.071428575,0.0,0.022114168338834273,0.17435851043290865,0.018518519,0.0,0.7762289419944383,0.19579791246175182,0.0714285746216774
215784_at,0.10958406440440117,0.23809525,0.0,0.14849747608087366,0.017047135072809583,0.037037037,0.0,1.0,0.1937826208221309,0.10958406440440117
230932_at,0.0,0.14285715,0.0,0.5122799934901444,0.4652977836138613,0.037037037,0.0,0.37451126024826015,0.19149790298857566,0.1428571492433548
1556945_a_at,0.03234352174406405,0.21428572,0.0,0.2690906916210834,0.0,0.3888889,0.16666666666666666,0.3305331059450166,0.17522607473786367,0.17522607473786367
206907_at,0.0,0.11904763,0.16666666666666666,0.3630482784318071,0.20082460066972352,0.0925926,0.16666666666666666,0.28777639607182187,0.1745778540459283,0.16666666666666666
202552_s_at,0.28937291154102224,0.14285715,0.0,0.11013433764171464,0.3332034154446973,0.12962963,0.0,0.3773732648413074,0.17282133819778145,0.1428571492433548
238622_at,0.17283008607392772,0.023809524,0.0,0.5377881514157871,0.2812605552027762,0.0,0.0,0.34157828127483836,0.1696583247775425,0.1696583247775425
203522_at,0.24887738754554095,0.1904762,0.0,0.6862733516742083,0.029284026117099352,0.11111112,0.0,0.08192000731051784,0.16849276075762332,0.111111119389534
207375_s_at,0.0,0.16666667,0.16666666666666666,0.2954772931015135,0.003553122803742457,0.2962963,0.16666666666666666,0.16166516648232626,0.15712398573231395,0.16666666666666666
206923_at,0.0024778219085925322,0.0952381,0.3333333333333333,0.21793316777809044,0.322108630739154,0.05555556,0.0,0.21407786760024713,0.15509055975827843,0.15509055975827843
203401_at,0.02789776263459915,0.5952381,0.0,0.012468861033193857,0.0,0.2777778,0.0,0.32411833381123706,0.15468760475796836,0.02789776263459915
209930_s_at,0.32006112306691953,0.23809525,0.16666666666666666,0.18226449080613166,0.24316071626520658,0.037037037,0.0,0.04844950385375634,0.15446684895970544,0.16666666666666666
213367_at,0.011592839105771009,0.0952381,0.16666666666666666,0.05044917182468359,0.06991319203433036,0.24074075,0.5,0.06142666777811091,0.14950342258516186,0.095238097012043
230526_at,0.3706214858534641,0.26190478,0.0,0.16726353963526552,0.19269902924045587,0.14814815,0.0,0.05410478905896731,0.14934272114205432,0.14934272114205432
204692_at,0.5237941372648013,0.023809524,0.0,0.31807475301372756,0.013376614203203567,0.0,0.0,0.2692152732882982,0.14353378775288017,0.02380952425301075
1568713_a_at,0.19698408149894817,0.14285715,0.0,0.22281503666096242,0.0,0.074074075,0.0,0.4857385471123133,0.14030861114269344,0.14030861114269344
212488_at,0.1373591750703745,0.023809524,0.0,0.4843611587782673,0.0,0.018518519,0.0,0.3530759165994242,0.12714053666969613,0.02380952425301075
201105_at,0.0,0.1904762,0.0,0.3670344097557922,0.1535897679614779,0.074074075,0.0,0.23038640401241084,0.126945106297467,0.126945106297467
218084_x_at,0.14659294322781963,0.0,0.0,0.32946443325231173,0.19861573928678683,0.018518519,0.0,0.2799330296630298,0.12164058301080502,0.12164058301080502
211548_s_at,0.2342409887418005,0.0,0.0,0.30596871032228046,0.0,0.0,0.16666666666666666,0.24648203476298594,0.11916980006171671,0.11916980006171671
214950_at,0.15353789535085682,0.071428575,0.16666666666666666,0.2240412121457827,0.08473928966829479,0.037037037,0.16666666666666666,0.028385639320350087,0.11656287271915995,0.11656287271915995
205900_at,0.1268041048587614,0.52380955,0.0,0.07893486610083497,0.0020883478482403386,0.14814815,0.0,0.01914876075253867,0.11236672262562515,0.07893486610083497
206589_at,0.13691131963154185,0.11904763,0.0,0.0018877274632136027,0.24526845880006465,0.05555556,0.0,0.3065871871960975,0.10815723495483422,0.10815723495483422
218862_at,0.11443994222691262,0.11904763,0.0,0.06636326939217256,0.18730181256833733,0.05555556,0.0,0.315331346249063,0.10725494462303022,0.10725494462303022
223130_s_at,0.0,0.023809524,0.0,0.06996087559731096,0.5205982874417154,0.11111112,0.0,0.10810002804036704,0.10419747934024226,0.06996087559731096
206726_at,0.060158239849929566,0.2857143,0.0,0.1944626646801213,0.09016918663703198,0.0925926,0.0,0.1069546974117866,0.10375646050916632,0.09259259700775146
215807_s_at,0.020849996999163668,0.023809524,0.0,0.11833514807208279,0.10070063051266866,0.018518519,0.0,0.5241990174491714,0.10080160449282369,0.02380952425301075
225613_at,0.06671369970266998,0.04761905,0.0,0.24927341801903072,0.03544661005138834,0.018518519,0.0,0.3567338490218892,0.0967881429946865,0.0476190485060215
203325_s_at,0.0,0.30952382,0.0,0.03950622238775113,0.010447572913769061,0.35185188,0.0,0.024655181705633317,0.09199808480432665,0.024655181705633317
237403_at,0.0,0.0952381,0.0,0.09495753173411842,0.0,0.018518519,0.0,0.4837498783088484,0.08655800321393775,0.018518518656492233
206752_s_at,0.0,0.21428572,0.0,0.14712604997422113,0.056068990619432636,0.05555556,0.0,0.20571422034574066,0.08484381713107664,0.056068990619432636
213093_at,0.013222639224553003,0.23809525,0.0,0.030561673908816957,0.0,0.16666666,0.0,0.21655528261854812,0.08313768827380696,0.030561673908816957
215933_s_at,0.25451762409404644,0.071428575,0.0,0.3086998626798448,0.012973673238678334,0.0,0.0,0.005203566774169737,0.08160291267605209,0.012973673238678334
228097_at,0.002158943256948574,0.23809525,0.0,0.034580625507064935,0.0,0.0,0.0,0.34178778548859634,0.07707782599482353,0.002158943256948574
218337_at,0.13242921830752594,0.0,0.0,0.0,0.05166985528014812,0.3148148,0.0,0.10003003298519816,0.07486798906967117,0.05166985528014812
205910_s_at,0.00845836253000642,0.0952381,0.0,0.14508812024031328,0.0,0.018518519,0.0,0.3231765219034269,0.07380995254278523,0.018518518656492233
208501_at,0.017848434354323203,0.04761905,0.0,0.08027938170045931,0.05548299952934825,0.05555556,0.3333333333333333,0.0,0.07376484463978157,0.05548299952934825
222978_at,0.061168930646280435,0.16666667,0.0,0.2103123812625032,0.04692212065175441,0.0,0.0,0.08676248538141851,0.07147907369695962,0.061168930646280435
204689_at,0.004828187005464168,0.071428575,0.0,0.36396582671024336,0.0,0.018518519,0.0,0.10729012762037543,0.07075390432678158,0.018518518656492233
207908_at,0.0,0.023809524,0.0,0.06381623475330868,0.04742810984865794,0.037037037,0.0,0.3798517446940411,0.06899283135775036,0.03703703731298447
212489_at,0.013942875821774043,0.04761905,0.0,0.2963356720229153,0.05174183211626704,0.0,0.0,0.10884064764702363,0.06481000951425019,0.0476190485060215
219693_at,0.0,0.071428575,0.0,0.12387798867627661,0.07921113114850398,0.14814815,0.0,0.0731039886682402,0.06197122904582951,0.0714285746216774
229678_at,0.11542351725149956,0.0952381,0.0,0.08918429065391187,0.12237739492960083,0.0,0.0,0.04970564900445114,0.0589911186064383,0.0589911186064383
218376_s_at,0.0015694144274176081,0.0952381,0.0,0.0,0.0021296803129881208,0.11111112,0.0,0.22068056063677566,0.053841108972344794,0.0021296803129881208
223600_s_at,0.17617209031405326,0.0,0.0,0.051517709859010476,0.0,0.037037037,0.0,0.16080591693738344,0.053191594302928955,0.03703703731298447
212124_at,0.0,0.071428575,0.0,0.024980045446763945,0.2620086179302327,0.037037037,0.0,0.027539332151859778,0.05287420093293979,0.027539332151859778
211549_s_at,0.05192229661275849,0.0,0.0,0.27757748719533626,0.0,0.074074075,0.0,0.015785610130044297,0.0524199335705135,0.015785610130044297
219282_s_at,0.0,0.0,0.16666666666666666,0.03608602449560931,0.0,0.0,0.0,0.2098039600856911,0.05156958140599588,0.0
215195_at,0.001825826886058442,0.071428575,0.0,0.12588503383756483,0.0,0.037037037,0.0,0.12597467389564898,0.04526889331924176,0.03703703731298447
208592_s_at,0.0,0.11904763,0.0,0.07853336374053656,0.0,0.12962963,0.0,0.029045627984639083,0.044532030681040016,0.029045627984639083
206310_at,0.0022362036258960992,0.023809524,0.0,0.24592323902999788,0.0,0.018518519,0.0,0.04825862971422434,0.04234326440995266,0.018518518656492233
223575_at,0.18518525645361947,0.0,0.0,0.054869709330192085,0.0,0.0,0.0,0.026476157940884374,0.033316390465586994,0.0
210676_x_at,0.0,0.0952381,0.0,0.026584586924339113,0.0,0.11111112,0.0,0.01968024541113755,0.03157675609213171,0.01968024541113755
228098_s_at,0.0,0.0,0.0,0.03877152847027474,0.0,0.05555556,0.0,0.09475395270003124,0.02363513010813412,0.0
214958_s_at,0.0,0.0,0.0,0.024102446031256837,0.05742876002872159,0.074074075,0.0,0.007503887705073605,0.02038864604887762,0.007503887705073605
215117_at,0.0,0.023809524,0.0,0.01789601724776663,0.03839790797686974,0.018518519,0.0,0.052289009641227485,0.018863872221920854,0.018518518656492233
217865_at,0.0,0.04761905,0.0,0.0,0.019598937224670678,0.0,0.0,0.014556163873434674,0.010221768700515856,0.0
